index,floretion,x_coord,y_coord,oct
0,4681,0,0,11111
1,4682,0,1,11112
2,4684,1,1,11114
3,4687,1,0,11117
4,4689,0,2,11121
5,4690,0,3,11122
6,4692,1,3,11124
7,4695,1,2,11127
8,4705,2,2,11141
9,4706,2,3,11142
10,4708,3,3,11144
11,4711,3,2,11147
12,4729,2,0,11171
13,4730,2,1,11172
14,4732,3,1,11174
15,4735,3,0,11177
16,4745,0,4,11211
17,4746,0,5,11212
18,4748,1,5,11214
19,4751,1,4,11217
20,4753,0,6,11221
21,4754,0,7,11222
22,4756,1,7,11224
23,4759,1,6,11227
24,4769,2,6,11241
25,4770,2,7,11242
26,4772,3,7,11244
27,4775,3,6,11247
28,4793,2,4,11271
29,4794,2,5,11272
30,4796,3,5,11274
31,4799,3,4,11277
32,4873,4,4,11411
33,4874,4,5,11412
34,4876,5,5,11414
35,4879,5,4,11417
36,4881,4,6,11421
37,4882,4,7,11422
38,4884,5,7,11424
39,4887,5,6,11427
40,4897,6,6,11441
41,4898,6,7,11442
42,4900,7,7,11444
43,4903,7,6,11447
44,4921,6,4,11471
45,4922,6,5,11472
46,4924,7,5,11474
47,4927,7,4,11477
48,5065,4,0,11711
49,5066,4,1,11712
50,5068,5,1,11714
51,5071,5,0,11717
52,5073,4,2,11721
53,5074,4,3,11722
54,5076,5,3,11724
55,5079,5,2,11727
56,5089,6,2,11741
57,5090,6,3,11742
58,5092,7,3,11744
59,5095,7,2,11747
60,5113,6,0,11771
61,5114,6,1,11772
62,5116,7,1,11774
63,5119,7,0,11777
64,5193,0,8,12111
65,5194,0,9,12112
66,5196,1,9,12114
67,5199,1,8,12117
68,5201,0,10,12121
69,5202,0,11,12122
70,5204,1,11,12124
71,5207,1,10,12127
72,5217,2,10,12141
73,5218,2,11,12142
74,5220,3,11,12144
75,5223,3,10,12147
76,5241,2,8,12171
77,5242,2,9,12172
78,5244,3,9,12174
79,5247,3,8,12177
80,5257,0,12,12211
81,5258,0,13,12212
82,5260,1,13,12214
83,5263,1,12,12217
84,5265,0,14,12221
85,5266,0,15,12222
86,5268,1,15,12224
87,5271,1,14,12227
88,5281,2,14,12241
89,5282,2,15,12242
90,5284,3,15,12244
91,5287,3,14,12247
92,5305,2,12,12271
93,5306,2,13,12272
94,5308,3,13,12274
95,5311,3,12,12277
96,5385,4,12,12411
97,5386,4,13,12412
98,5388,5,13,12414
99,5391,5,12,12417
100,5393,4,14,12421
101,5394,4,15,12422
102,5396,5,15,12424
103,5399,5,14,12427
104,5409,6,14,12441
105,5410,6,15,12442
106,5412,7,15,12444
107,5415,7,14,12447
108,5433,6,12,12471
109,5434,6,13,12472
