index,floretion,x_coord,y_coord
0,2396745,0,0
1,2396746,0,1
2,2396748,1,1
3,2396751,1,0
4,2396753,0,2
5,2396754,0,3
6,2396756,1,3
7,2396759,1,2
8,2396769,2,2
9,2396770,2,3
10,2396772,3,3
11,2396775,3,2
12,2396793,2,0
13,2396794,2,1
14,2396796,3,1
15,2396799,3,0
16,2396809,0,4
17,2396810,0,5
18,2396812,1,5
19,2396815,1,4
20,2396817,0,6
21,2396818,0,7
22,2396820,1,7
23,2396823,1,6
24,2396833,2,6
25,2396834,2,7
26,2396836,3,7
27,2396839,3,6
28,2396857,2,4
29,2396858,2,5
30,2396860,3,5
31,2396863,3,4
32,2396937,4,4
33,2396938,4,5
34,2396940,5,5
35,2396943,5,4
36,2396945,4,6
37,2396946,4,7
38,2396948,5,7
39,2396951,5,6
40,2396961,6,6
41,2396962,6,7
42,2396964,7,7
43,2396967,7,6
44,2396985,6,4
45,2396986,6,5
46,2396988,7,5
47,2396991,7,4
48,2397129,4,0
49,2397130,4,1
50,2397132,5,1
51,2397135,5,0
52,2397137,4,2
53,2397138,4,3
54,2397140,5,3
55,2397143,5,2
56,2397153,6,2
57,2397154,6,3
58,2397156,7,3
59,2397159,7,2
60,2397177,6,0
61,2397178,6,1
62,2397180,7,1
63,2397183,7,0
64,2397257,0,8
65,2397258,0,9
66,2397260,1,9
67,2397263,1,8
68,2397265,0,10
69,2397266,0,11
70,2397268,1,11
71,2397271,1,10
72,2397281,2,10
73,2397282,2,11
74,2397284,3,11
75,2397287,3,10
76,2397305,2,8
77,2397306,2,9
78,2397308,3,9
79,2397311,3,8
80,2397321,0,12
81,2397322,0,13
82,2397324,1,13
83,2397327,1,12
84,2397329,0,14
85,2397330,0,15
86,2397332,1,15
87,2397335,1,14
88,2397345,2,14
89,2397346,2,15
90,2397348,3,15
91,2397351,3,14
92,2397369,2,12
93,2397370,2,13
94,2397372,3,13
95,2397375,3,12
96,2397449,4,12
97,2397450,4,13
98,2397452,5,13
99,2397455,5,12
100,2397457,4,14
101,2397458,4,15
102,2397460,5,15
103,2397463,5,14
104,2397473,6,14
105,2397474,6,15
106,2397476,7,15
107,2397479,7,14
108,2397497,6,12
109,2397498,6,13
110,2397500,7,13
111,2397503,7,12
112,2397641,4,8
113,2397642,4,9
114,2397644,5,9
115,2397647,5,8
116,2397649,4,10
117,2397650,4,11
118,2397652,5,11
119,2397655,5,10
120,2397665,6,10
121,2397666,6,11
122,2397668,7,11
123,2397671,7,10
124,2397689,6,8
125,2397690,6,9
126,2397692,7,9
127,2397695,7,8
128,2398281,8,8
129,2398282,8,9
130,2398284,9,9
131,2398287,9,8
132,2398289,8,10
133,2398290,8,11
134,2398292,9,11
135,2398295,9,10
136,2398305,10,10
137,2398306,10,11
138,2398308,11,11
139,2398311,11,10
140,2398329,10,8
141,2398330,10,9
142,2398332,11,9
143,2398335,11,8
144,2398345,8,12
145,2398346,8,13
146,2398348,9,13
147,2398351,9,12
148,2398353,8,14
149,2398354,8,15
150,2398356,9,15
151,2398359,9,14
152,2398369,10,14
153,2398370,10,15
154,2398372,11,15
155,2398375,11,14
156,2398393,10,12
157,2398394,10,13
158,2398396,11,13
159,2398399,11,12
160,2398473,12,12
161,2398474,12,13
162,2398476,13,13
163,2398479,13,12
164,2398481,12,14
165,2398482,12,15
166,2398484,13,15
167,2398487,13,14
168,2398497,14,14
169,2398498,14,15
170,2398500,15,15
171,2398503,15,14
172,2398521,14,12
173,2398522,14,13
174,2398524,15,13
175,2398527,15,12
176,2398665,12,8
177,2398666,12,9
178,2398668,13,9
179,2398671,13,8
180,2398673,12,10
181,2398674,12,11
182,2398676,13,11
183,2398679,13,10
184,2398689,14,10
185,2398690,14,11
186,2398692,15,11
187,2398695,15,10
188,2398713,14,8
189,2398714,14,9
190,2398716,15,9
191,2398719,15,8
192,2399817,8,0
193,2399818,8,1
194,2399820,9,1
195,2399823,9,0
196,2399825,8,2
197,2399826,8,3
198,2399828,9,3
199,2399831,9,2
200,2399841,10,2
201,2399842,10,3
202,2399844,11,3
203,2399847,11,2
204,2399865,10,0
205,2399866,10,1
206,2399868,11,1
207,2399871,11,0
208,2399881,8,4
209,2399882,8,5
210,2399884,9,5
211,2399887,9,4
212,2399889,8,6
213,2399890,8,7
214,2399892,9,7
215,2399895,9,6
216,2399905,10,6
217,2399906,10,7
218,2399908,11,7
219,2399911,11,6
220,2399929,10,4
221,2399930,10,5
222,2399932,11,5
223,2399935,11,4
224,2400009,12,4
225,2400010,12,5
226,2400012,13,5
227,2400015,13,4
228,2400017,12,6
229,2400018,12,7
230,2400020,13,7
231,2400023,13,6
232,2400033,14,6
233,2400034,14,7
234,2400036,15,7
235,2400039,15,6
236,2400057,14,4
237,2400058,14,5
238,2400060,15,5
239,2400063,15,4
240,2400201,12,0
