[    0,  4681,     0,     0]
[    0,  4682,     0,    16]
[    0,  4684,    16,    16]
[    0,  4687,    16,     0]
[    0,  4689,     0,     8]
[    0,  4690,     0,    24]
[    0,  4692,    16,    24]
[    0,  4695,    16,     8]
[    0,  4705,     8,     8]
[    0,  4706,     8,    24]
[    0,  4708,    24,    24]
[    0,  4711,    24,     8]
[    0,  4729,     8,     0]
[    0,  4730,     8,    16]
[    0,  4732,    24,    16]
[    0,  4735,    24,     0]
[    0,  4745,     0,     4]
[    0,  4746,     0,    20]
[    0,  4748,    16,    20]
[    0,  4751,    16,     4]
[    0,  4753,     0,    12]
[    0,  4754,     0,    28]
[    0,  4756,    16,    28]
[    0,  4759,    16,    12]
[    0,  4769,     8,    12]
[    0,  4770,     8,    28]
[    0,  4772,    24,    28]
[    0,  4775,    24,    12]
[    0,  4793,     8,     4]
[    0,  4794,     8,    20]
[    0,  4796,    24,    20]
[    0,  4799,    24,     4]
[    0,  4873,     4,     4]
[    0,  4874,     4,    20]
[    0,  4876,    20,    20]
[    0,  4879,    20,     4]
[    0,  4881,     4,    12]
[    0,  4882,     4,    28]
[    0,  4884,    20,    28]
[    0,  4887,    20,    12]
[    0,  4897,    12,    12]
[    0,  4898,    12,    28]
[    0,  4900,    28,    28]
[    0,  4903,    28,    12]
[    0,  4921,    12,     4]
[    0,  4922,    12,    20]
[    0,  4924,    28,    20]
[    0,  4927,    28,     4]
[    0,  5065,     4,     0]
[    0,  5066,     4,    16]
[    0,  5068,    20,    16]
[    0,  5071,    20,     0]
[    0,  5073,     4,     8]
[    0,  5074,     4,    24]
[    0,  5076,    20,    24]
[    0,  5079,    20,     8]
[    0,  5089,    12,     8]
[    0,  5090,    12,    24]
[    0,  5092,    28,    24]
[    0,  5095,    28,     8]
[    0,  5113,    12,     0]
[    0,  5114,    12,    16]
[    0,  5116,    28,    16]
[    0,  5119,    28,     0]
[    0,  5193,     0,     2]
[    0,  5194,     0,    18]
[    0,  5196,    16,    18]
[    0,  5199,    16,     2]
[    0,  5201,     0,    10]
[    0,  5202,     0,    26]
[    0,  5204,    16,    26]
[    0,  5207,    16,    10]
[    0,  5217,     8,    10]
[    0,  5218,     8,    26]
[    0,  5220,    24,    26]
[    0,  5223,    24,    10]
[    0,  5241,     8,     2]
[    0,  5242,     8,    18]
[    0,  5244,    24,    18]
[    0,  5247,    24,     2]
[    0,  5257,     0,     6]
[    0,  5258,     0,    22]
[    0,  5260,    16,    22]
[    0,  5263,    16,     6]
[    0,  5265,     0,    14]
[    0,  5266,     0,    30]
[    0,  5268,    16,    30]
[    0,  5271,    16,    14]
[    0,  5281,     8,    14]
[    0,  5282,     8,    30]
[    0,  5284,    24,    30]
[    0,  5287,    24,    14]
[    0,  5305,     8,     6]
[    0,  5306,     8,    22]
[    0,  5308,    24,    22]
[    0,  5311,    24,     6]
[    0,  5385,     4,     6]
[    0,  5386,     4,    22]
[    0,  5388,    20,    22]
[    0,  5391,    20,     6]
[    0,  5393,     4,    14]
[    0,  5394,     4,    30]
[    0,  5396,    20,    30]
[    0,  5399,    20,    14]
[    0,  5409,    12,    14]
[    0,  5410,    12,    30]
[    0,  5412,    28,    30]
[    0,  5415,    28,    14]
[    0,  5433,    12,     6]
[    0,  5434,    12,    22]
[    0,  5436,    28,    22]
[    0,  5439,    28,     6]
[    0,  5577,     4,     2]
[    0,  5578,     4,    18]
[    0,  5580,    20,    18]
[    0,  5583,    20,     2]
[    0,  5585,     4,    10]
[    0,  5586,     4,    26]
[    0,  5588,    20,    26]
[    0,  5591,    20,    10]
[    0,  5601,    12,    10]
[    0,  5602,    12,    26]
[    0,  5604,    28,    26]
[    0,  5607,    28,    10]
[    0,  5625,    12,     2]
[    0,  5626,    12,    18]
[    0,  5628,    28,    18]
[    0,  5631,    28,     2]
[    0,  6217,     2,     2]
[    0,  6218,     2,    18]
[    0,  6220,    18,    18]
[    0,  6223,    18,     2]
[    0,  6225,     2,    10]
[    0,  6226,     2,    26]
[    0,  6228,    18,    26]
[    0,  6231,    18,    10]
[    0,  6241,    10,    10]
[    0,  6242,    10,    26]
[    0,  6244,    26,    26]
[    0,  6247,    26,    10]
[    0,  6265,    10,     2]
[    0,  6266,    10,    18]
[    0,  6268,    26,    18]
[    0,  6271,    26,     2]
[    0,  6281,     2,     6]
[    0,  6282,     2,    22]
[    0,  6284,    18,    22]
[    0,  6287,    18,     6]
[    0,  6289,     2,    14]
[    0,  6290,     2,    30]
[    0,  6292,    18,    30]
