index,floretion,x_coord,y_coord,oct
0,73,0,0,111
1,74,0,1,112
2,76,1,1,114
3,79,1,0,117
4,81,0,2,121
5,82,0,3,122
6,84,1,3,124
7,87,1,2,127
8,97,2,2,141
9,98,2,3,142
10,100,3,3,144
11,103,3,2,147
12,121,2,0,171
13,122,2,1,172
14,124,3,1,174
15,127,3,0,177
16,137,0,4,211
17,138,0,5,212
18,140,1,5,214
19,143,1,4,217
20,145,0,6,221
21,146,0,7,222
22,148,1,7,224
23,151,1,6,227
24,161,2,6,241
25,162,2,7,242
26,164,3,7,244
27,167,3,6,247
28,185,2,4,271
29,186,2,5,272
30,188,3,5,274
31,191,3,4,277
32,265,4,4,411
33,266,4,5,412
34,268,5,5,414
35,271,5,4,417
36,273,4,6,421
37,274,4,7,422
38,276,5,7,424
39,279,5,6,427
40,289,6,6,441
41,290,6,7,442
42,292,7,7,444
43,295,7,6,447
44,313,6,4,471
45,314,6,5,472
46,316,7,5,474
47,319,7,4,477
48,457,4,0,711
49,458,4,1,712
50,460,5,1,714
51,463,5,0,717
52,465,4,2,721
53,466,4,3,722
54,468,5,3,724
55,471,5,2,727
56,481,6,2,741
57,482,6,3,742
58,484,7,3,744
59,487,7,2,747
60,505,6,0,771
61,506,6,1,772
62,508,7,1,774
63,511,7,0,777
