index,floretion,x_coord,y_coord,oct
0,299593,0,0,1111111
1,299594,0,1,1111112
2,299596,1,1,1111114
3,299599,1,0,1111117
4,299601,0,2,1111121
5,299602,0,3,1111122
6,299604,1,3,1111124
7,299607,1,2,1111127
8,299617,2,2,1111141
9,299618,2,3,1111142
10,299620,3,3,1111144
11,299623,3,2,1111147
12,299641,2,0,1111171
13,299642,2,1,1111172
14,299644,3,1,1111174
15,299647,3,0,1111177
16,299657,0,4,1111211
17,299658,0,5,1111212
18,299660,1,5,1111214
19,299663,1,4,1111217
20,299665,0,6,1111221
21,299666,0,7,1111222
22,299668,1,7,1111224
23,299671,1,6,1111227
24,299681,2,6,1111241
25,299682,2,7,1111242
26,299684,3,7,1111244
27,299687,3,6,1111247
28,299705,2,4,1111271
29,299706,2,5,1111272
30,299708,3,5,1111274
31,299711,3,4,1111277
32,299785,4,4,1111411
33,299786,4,5,1111412
34,299788,5,5,1111414
35,299791,5,4,1111417
36,299793,4,6,1111421
37,299794,4,7,1111422
38,299796,5,7,1111424
39,299799,5,6,1111427
40,299809,6,6,1111441
41,299810,6,7,1111442
42,299812,7,7,1111444
43,299815,7,6,1111447
44,299833,6,4,1111471
45,299834,6,5,1111472
46,299836,7,5,1111474
47,299839,7,4,1111477
48,299977,4,0,1111711
49,299978,4,1,1111712
50,299980,5,1,1111714
51,299983,5,0,1111717
52,299985,4,2,1111721
53,299986,4,3,1111722
54,299988,5,3,1111724
55,299991,5,2,1111727
56,300001,6,2,1111741
57,300002,6,3,1111742
58,300004,7,3,1111744
59,300007,7,2,1111747
60,300025,6,0,1111771
61,300026,6,1,1111772
62,300028,7,1,1111774
63,300031,7,0,1111777
64,300105,0,8,1112111
65,300106,0,9,1112112
66,300108,1,9,1112114
67,300111,1,8,1112117
68,300113,0,10,1112121
69,300114,0,11,1112122
70,300116,1,11,1112124
71,300119,1,10,1112127
72,300129,2,10,1112141
73,300130,2,11,1112142
74,300132,3,11,1112144
75,300135,3,10,1112147
76,300153,2,8,1112171
77,300154,2,9,1112172
78,300156,3,9,1112174
79,300159,3,8,1112177
80,300169,0,12,1112211
81,300170,0,13,1112212
82,300172,1,13,1112214
83,300175,1,12,1112217
84,300177,0,14,1112221
85,300178,0,15,1112222
86,300180,1,15,1112224
87,300183,1,14,1112227
88,300193,2,14,1112241
89,300194,2,15,1112242
90,300196,3,15,1112244
91,300199,3,14,1112247
92,300217,2,12,1112271
93,300218,2,13,1112272
94,300220,3,13,1112274
95,300223,3,12,1112277
96,300297,4,12,1112411
97,300298,4,13,1112412
98,300300,5,13,1112414
99,300303,5,12,1112417
100,300305,4,14,1112421
101,300306,4,15,1112422
102,300308,5,15,1112424
103,300311,5,14,1112427
104,300321,6,14,1112441
105,300322,6,15,1112442
106,300324,7,15,1112444
107,300327,7,14,1112447
108,300345,6,12,1112471
109,300346,6,13,1112472
110,300348,7,13,1112474
111,300351,7,12,1112477
112,300489,4,8,1112711
113,300490,4,9,1112712
114,300492,5,9,1112714
115,300495,5,8,1112717
116,300497,4,10,1112721
117,300498,4,11,1112722
118,300500,5,11,1112724
119,300503,5,10,1112727
120,300513,6,10,1112741
121,300514,6,11,1112742
122,300516,7,11,1112744
123,300519,7,10,1112747
124,300537,6,8,1112771
125,300538,6,9,1112772
126,300540,7,9,1112774
127,300543,7,8,1112777
128,301129,8,8,1114111
129,301130,8,9,1114112
130,301132,9,9,1114114
131,301135,9,8,1114117
132,301137,8,10,1114121
133,301138,8,11,1114122
134,301140,9,11,1114124
135,301143,9,10,1114127
136,301153,10,10,1114141
137,301154,10,11,1114142
138,301156,11,11,1114144
139,301159,11,10,1114147
140,301177,10,8,1114171
141,301178,10,9,1114172
142,301180,11,9,1114174
143,301183,11,8,1114177
144,301193,8,12,1114211
145,301194,8,13,1114212
146,301196,9,13,1114214
147,301199,9,12,1114217
148,301201,8,14,1114221
149,301202,8,15,1114222
150,301204,9,15,1114224
151,301207,9,14,1114227
152,301217,10,14,1114241
153,301218,10,15,1114242
154,301220,11,15,1114244
155,301223,11,14,1114247
156,301241,10,12,1114271
157,301242,10,13,1114272
158,301244,11,13,1114274
159,301247,11,12,1114277
160,301321,12,12,1114411
161,301322,12,13,1114412
162,301324,13,13,1114414
163,301327,13,12,1114417
164,301329,12,14,1114421
165,301330,12,15,1114422
166,301332,13,15,1114424
167,301335,13,14,1114427
168,301345,14,14,1114441
169,301346,14,15,1114442
170,301348,15,15,1114444
171,301351,15,14,1114447
172,301369,14,12,1114471
173,301370,14,13,1114472
174,301372,15,13,1114474
175,301375,15,12,1114477
176,301513,12,8,1114711
177,301514,12,9,1114712
178,301516,13,9,1114714
179,301519,13,8,1114717
180,301521,12,10,1114721
181,301522,12,11,1114722
182,301524,13,11,1114724
183,301527,13,10,1114727
184,301537,14,10,1114741
185,301538,14,11,1114742
186,301540,15,11,1114744
187,301543,15,10,1114747
188,301561,14,8,1114771
189,301562,14,9,1114772
190,301564,15,9,1114774
191,301567,15,8,1114777
192,302665,8,0,1117111
193,302666,8,1,1117112
194,302668,9,1,1117114
195,302671,9,0,1117117
196,302673,8,2,1117121
197,302674,8,3,1117122
198,302676,9,3,1117124
199,302679,9,2,1117127
200,302689,10,2,1117141
201,302690,10,3,1117142
202,302692,11,3,1117144
203,302695,11,2,1117147
204,302713,10,0,1117171
205,302714,10,1,1117172
206,302716,11,1,1117174
207,302719,11,0,1117177
208,302729,8,4,1117211
209,302730,8,5,1117212
210,302732,9,5,1117214
211,302735,9,4,1117217
212,302737,8,6,1117221
213,302738,8,7,1117222
214,302740,9,7,1117224
215,302743,9,6,1117227
216,302753,10,6,1117241
217,302754,10,7,1117242
218,302756,11,7,1117244
219,302759,11,6,1117247
220,302777,10,4,1117271
221,302778,10,5,1117272
222,302780,11,5,1117274
223,302783,11,4,1117277
224,302857,12,4,1117411
225,302858,12,5,1117412
226,302860,13,5,1117414
227,302863,13,4,1117417
228,302865,12,6,1117421
229,302866,12,7,1117422
230,302868,13,7,1117424
231,302871,13,6,1117427
232,302881,14,6,1117441
233,302882,14,7,1117442
234,302884,15,7,1117444
235,302887,15,6,1117447
236,302905,14,4,1117471
237,302906,14,5,1117472
238,302908,15,5,1117474
239,302911,15,4,1117477
240,303049,12,0,1117711
241,303050,12,1,1117712
242,303052,13,1,1117714
243,303055,13,0,1117717
244,303057,12,2,1117721
245,303058,12,3,1117722
246,303060,13,3,1117724
247,303063,13,2,1117727
248,303073,14,2,1117741
249,303074,14,3,1117742
250,303076,15,3,1117744
251,303079,15,2,1117747
252,303097,14,0,1117771
253,303098,14,1,1117772
254,303100,15,1,1117774
255,303103,15,0,1117777
256,303689,0,16,1121111
257,303690,0,17,1121112
258,303692,1,17,1121114
259,303695,1,16,1121117
260,303697,0,18,1121121
261,303698,0,19,1121122
262,303700,1,19,1121124
263,303703,1,18,1121127
264,303713,2,18,1121141
265,303714,2,19,1121142
266,303716,3,19,1121144
267,303719,3,18,1121147
268,303737,2,16,1121171
269,303738,2,17,1121172
270,303740,3,17,1121174
271,303743,3,16,1121177
272,303753,0,20,1121211
273,303754,0,21,1121212
274,303756,1,21,1121214
275,303759,1,20,1121217
276,303761,0,22,1121221
277,303762,0,23,1121222
278,303764,1,23,1121224
279,303767,1,22,1121227
280,303777,2,22,1121241
281,303778,2,23,1121242
282,303780,3,23,1121244
283,303783,3,22,1121247
284,303801,2,20,1121271
285,303802,2,21,1121272
286,303804,3,21,1121274
287,303807,3,20,1121277
288,303881,4,20,1121411
289,303882,4,21,1121412
290,303884,5,21,1121414
291,303887,5,20,1121417
292,303889,4,22,1121421
293,303890,4,23,1121422
294,303892,5,23,1121424
295,303895,5,22,1121427
296,303905,6,22,1121441
297,303906,6,23,1121442
298,303908,7,23,1121444
299,303911,7,22,1121447
300,303929,6,20,1121471
301,303930,6,21,1121472
302,303932,7,21,1121474
303,303935,7,20,1121477
304,304073,4,16,1121711
305,304074,4,17,1121712
306,304076,5,17,1121714
307,304079,5,16,1121717
308,304081,4,18,1121721
309,304082,4,19,1121722
310,304084,5,19,1121724
311,304087,5,18,1121727
312,304097,6,18,1121741
313,304098,6,19,1121742
314,304100,7,19,1121744
315,304103,7,18,1121747
316,304121,6,16,1121771
317,304122,6,17,1121772
318,304124,7,17,1121774
319,304127,7,16,1121777
320,304201,0,24,1122111
321,304202,0,25,1122112
322,304204,1,25,1122114
323,304207,1,24,1122117
324,304209,0,26,1122121
325,304210,0,27,1122122
326,304212,1,27,1122124
327,304215,1,26,1122127
328,304225,2,26,1122141
329,304226,2,27,1122142
330,304228,3,27,1122144
331,304231,3,26,1122147
332,304249,2,24,1122171
333,304250,2,25,1122172
334,304252,3,25,1122174
335,304255,3,24,1122177
336,304265,0,28,1122211
337,304266,0,29,1122212
338,304268,1,29,1122214
339,304271,1,28,1122217
340,304273,0,30,1122221
341,304274,0,31,1122222
342,304276,1,31,1122224
343,304279,1,30,1122227
344,304289,2,30,1122241
345,304290,2,31,1122242
346,304292,3,31,1122244
347,304295,3,30,1122247
348,304313,2,28,1122271
349,304314,2,29,1122272
350,304316,3,29,1122274
351,304319,3,28,1122277
352,304393,4,28,1122411
353,304394,4,29,1122412
354,304396,5,29,1122414
355,304399,5,28,1122417
