index,floretion,x_coord,y_coord
0,299593,0,0
1,299594,0,1
2,299596,1,1
3,299599,1,0
4,299601,0,2
5,299602,0,3
6,299604,1,3
7,299607,1,2
8,299617,2,2
9,299618,2,3
10,299620,3,3
11,299623,3,2
12,299641,2,0
13,299642,2,1
14,299644,3,1
15,299647,3,0
16,299657,0,4
17,299658,0,5
18,299660,1,5
19,299663,1,4
20,299665,0,6
21,299666,0,7
22,299668,1,7
23,299671,1,6
24,299681,2,6
25,299682,2,7
26,299684,3,7
27,299687,3,6
28,299705,2,4
29,299706,2,5
30,299708,3,5
31,299711,3,4
32,299785,4,4
33,299786,4,5
34,299788,5,5
35,299791,5,4
36,299793,4,6
37,299794,4,7
38,299796,5,7
39,299799,5,6
40,299809,6,6
41,299810,6,7
42,299812,7,7
43,299815,7,6
44,299833,6,4
45,299834,6,5
46,299836,7,5
47,299839,7,4
48,299977,4,0
49,299978,4,1
50,299980,5,1
51,299983,5,0
52,299985,4,2
53,299986,4,3
54,299988,5,3
55,299991,5,2
56,300001,6,2
57,300002,6,3
58,300004,7,3
59,300007,7,2
60,300025,6,0
61,300026,6,1
62,300028,7,1
63,300031,7,0
64,300105,0,8
65,300106,0,9
66,300108,1,9
67,300111,1,8
68,300113,0,10
69,300114,0,11
70,300116,1,11
71,300119,1,10
72,300129,2,10
73,300130,2,11
74,300132,3,11
75,300135,3,10
76,300153,2,8
77,300154,2,9
78,300156,3,9
79,300159,3,8
80,300169,0,12
81,300170,0,13
82,300172,1,13
83,300175,1,12
84,300177,0,14
85,300178,0,15
86,300180,1,15
87,300183,1,14
88,300193,2,14
89,300194,2,15
90,300196,3,15
91,300199,3,14
92,300217,2,12
93,300218,2,13
94,300220,3,13
95,300223,3,12
96,300297,4,12
97,300298,4,13
98,300300,5,13
99,300303,5,12
100,300305,4,14
101,300306,4,15
102,300308,5,15
103,300311,5,14
104,300321,6,14
105,300322,6,15
106,300324,7,15
107,300327,7,14
108,300345,6,12
109,300346,6,13
110,300348,7,13
111,300351,7,12
112,300489,4,8
113,300490,4,9
114,300492,5,9
115,300495,5,8
116,300497,4,10
117,300498,4,11
118,300500,5,11
119,300503,5,10
120,300513,6,10
121,300514,6,11
122,300516,7,11
123,300519,7,10
124,300537,6,8
125,300538,6,9
126,300540,7,9
127,300543,7,8
128,301129,8,8
129,301130,8,9
130,301132,9,9
131,301135,9,8
132,301137,8,10
133,301138,8,11
134,301140,9,11
135,301143,9,10
136,301153,10,10
137,301154,10,11
138,301156,11,11
139,301159,11,10
140,301177,10,8
141,301178,10,9
142,301180,11,9
143,301183,11,8
144,301193,8,12
145,301194,8,13
146,301196,9,13
147,301199,9,12
148,301201,8,14
149,301202,8,15
150,301204,9,15
151,301207,9,14
152,301217,10,14
153,301218,10,15
154,301220,11,15
155,301223,11,14
156,301241,10,12
157,301242,10,13
