index,floretion,x_coord,y_coord,oct
0,585,0,0,1111
1,586,0,1,1112
2,588,1,1,1114
3,591,1,0,1117
4,593,0,2,1121
5,594,0,3,1122
6,596,1,3,1124
7,599,1,2,1127
8,609,2,2,1141
9,610,2,3,1142
10,612,3,3,1144
11,615,3,2,1147
12,633,2,0,1171
13,634,2,1,1172
14,636,3,1,1174
15,639,3,0,1177
16,649,0,4,1211
17,650,0,5,1212
18,652,1,5,1214
19,655,1,4,1217
20,657,0,6,1221
21,658,0,7,1222
22,660,1,7,1224
23,663,1,6,1227
24,673,2,6,1241
25,674,2,7,1242
26,676,3,7,1244
27,679,3,6,1247
28,697,2,4,1271
29,698,2,5,1272
30,700,3,5,1274
31,703,3,4,1277
32,777,4,4,1411
33,778,4,5,1412
34,780,5,5,1414
35,783,5,4,1417
36,785,4,6,1421
37,786,4,7,1422
38,788,5,7,1424
39,791,5,6,1427
40,801,6,6,1441
41,802,6,7,1442
42,804,7,7,1444
43,807,7,6,1447
44,825,6,4,1471
45,826,6,5,1472
46,828,7,5,1474
47,831,7,4,1477
48,969,4,0,1711
49,970,4,1,1712
50,972,5,1,1714
51,975,5,0,1717
52,977,4,2,1721
53,978,4,3,1722
54,980,5,3,1724
55,983,5,2,1727
56,993,6,2,1741
57,994,6,3,1742
58,996,7,3,1744
59,999,7,2,1747
60,1017,6,0,1771
61,1018,6,1,1772
62,1020,7,1,1774
63,1023,7,0,1777
64,1097,0,8,2111
65,1098,0,9,2112
66,1100,1,9,2114
67,1103,1,8,2117
68,1105,0,10,2121
69,1106,0,11,2122
70,1108,1,11,2124
71,1111,1,10,2127
72,1121,2,10,2141
73,1122,2,11,2142
74,1124,3,11,2144
75,1127,3,10,2147
76,1145,2,8,2171
77,1146,2,9,2172
78,1148,3,9,2174
79,1151,3,8,2177
80,1161,0,12,2211
81,1162,0,13,2212
82,1164,1,13,2214
83,1167,1,12,2217
84,1169,0,14,2221
85,1170,0,15,2222
86,1172,1,15,2224
87,1175,1,14,2227
88,1185,2,14,2241
89,1186,2,15,2242
90,1188,3,15,2244
91,1191,3,14,2247
92,1209,2,12,2271
93,1210,2,13,2272
94,1212,3,13,2274
95,1215,3,12,2277
96,1289,4,12,2411
97,1290,4,13,2412
98,1292,5,13,2414
99,1295,5,12,2417
100,1297,4,14,2421
101,1298,4,15,2422
102,1300,5,15,2424
103,1303,5,14,2427
104,1313,6,14,2441
105,1314,6,15,2442
106,1316,7,15,2444
107,1319,7,14,2447
108,1337,6,12,2471
109,1338,6,13,2472
110,1340,7,13,2474
111,1343,7,12,2477
112,1481,4,8,2711
113,1482,4,9,2712
114,1484,5,9,2714
115,1487,5,8,2717
116,1489,4,10,2721
117,1490,4,11,2722
118,1492,5,11,2724
119,1495,5,10,2727
120,1505,6,10,2741
121,1506,6,11,2742
122,1508,7,11,2744
123,1511,7,10,2747
124,1529,6,8,2771
125,1530,6,9,2772
