index,floretion,x_coord,y_coord,oct
48855,10473111,249,150,47747227
48856,10473121,250,150,47747241
48857,10473122,250,151,47747242
48858,10473124,251,151,47747244
48859,10473127,251,150,47747247
48860,10473145,250,148,47747271
48861,10473146,250,149,47747272
48862,10473148,251,149,47747274
48863,10473151,251,148,47747277
48864,10473225,252,148,47747411
48865,10473226,252,149,47747412
48866,10473228,253,149,47747414
48867,10473231,253,148,47747417
48868,10473233,252,150,47747421
48869,10473234,252,151,47747422
48870,10473236,253,151,47747424
48871,10473239,253,150,47747427
48872,10473249,254,150,47747441
48873,10473250,254,151,47747442
48874,10473252,255,151,47747444
48875,10473255,255,150,47747447
48876,10473273,254,148,47747471
48877,10473274,254,149,47747472
48878,10473276,255,149,47747474
48879,10473279,255,148,47747477
48880,10473417,252,144,47747711
48881,10473418,252,145,47747712
48882,10473420,253,145,47747714
48883,10473423,253,144,47747717
48884,10473425,252,146,47747721
48885,10473426,252,147,47747722
48886,10473428,253,147,47747724
48887,10473431,253,146,47747727
48888,10473441,254,146,47747741
48889,10473442,254,147,47747742
48890,10473444,255,147,47747744
48891,10473447,255,146,47747747
48892,10473465,254,144,47747771
48893,10473466,254,145,47747772
48894,10473468,255,145,47747774
48895,10473471,255,144,47747777
48896,10482249,240,128,47771111
48897,10482250,240,129,47771112
48898,10482252,241,129,47771114
48899,10482255,241,128,47771117
48900,10482257,240,130,47771121
48901,10482258,240,131,47771122
48902,10482260,241,131,47771124
48903,10482263,241,130,47771127
48904,10482273,242,130,47771141
48905,10482274,242,131,47771142
48906,10482276,243,131,47771144
48907,10482279,243,130,47771147
48908,10482297,242,128,47771171
48909,10482298,242,129,47771172
48910,10482300,243,129,47771174
48911,10482303,243,128,47771177
48912,10482313,240,132,47771211
48913,10482314,240,133,47771212
48914,10482316,241,133,47771214
48915,10482319,241,132,47771217
48916,10482321,240,134,47771221
48917,10482322,240,135,47771222
48918,10482324,241,135,47771224
48919,10482327,241,134,47771227
48920,10482337,242,134,47771241
48921,10482338,242,135,47771242
48922,10482340,243,135,47771244
48923,10482343,243,134,47771247
48924,10482361,242,132,47771271
48925,10482362,242,133,47771272
48926,10482364,243,133,47771274
48927,10482367,243,132,47771277
48928,10482441,244,132,47771411
48929,10482442,244,133,47771412
48930,10482444,245,133,47771414
48931,10482447,245,132,47771417
48932,10482449,244,134,47771421
48933,10482450,244,135,47771422
48934,10482452,245,135,47771424
48935,10482455,245,134,47771427
48936,10482465,246,134,47771441
48937,10482466,246,135,47771442
48938,10482468,247,135,47771444
48939,10482471,247,134,47771447
48940,10482489,246,132,47771471
48941,10482490,246,133,47771472
48942,10482492,247,133,47771474
48943,10482495,247,132,47771477
48944,10482633,244,128,47771711
48945,10482634,244,129,47771712
48946,10482636,245,129,47771714
48947,10482639,245,128,47771717
48948,10482641,244,130,47771721
48949,10482642,244,131,47771722
48950,10482644,245,131,47771724
48951,10482647,245,130,47771727
48952,10482657,246,130,47771741
48953,10482658,246,131,47771742
48954,10482660,247,131,47771744
48955,10482663,247,130,47771747
48956,10482681,246,128,47771771
48957,10482682,246,129,47771772
48958,10482684,247,129,47771774
48959,10482687,247,128,47771777
48960,10482761,240,136,47772111
48961,10482762,240,137,47772112
48962,10482764,241,137,47772114
48963,10482767,241,136,47772117
48964,10482769,240,138,47772121
48965,10482770,240,139,47772122
48966,10482772,241,139,47772124
48967,10482775,241,138,47772127
48968,10482785,242,138,47772141
48969,10482786,242,139,47772142
48970,10482788,243,139,47772144
48971,10482791,243,138,47772147
48972,10482809,242,136,47772171
48973,10482810,242,137,47772172
48974,10482812,243,137,47772174
48975,10482815,243,136,47772177
48976,10482825,240,140,47772211
48977,10482826,240,141,47772212
48978,10482828,241,141,47772214
48979,10482831,241,140,47772217
48980,10482833,240,142,47772221
48981,10482834,240,143,47772222
48982,10482836,241,143,47772224
48983,10482839,241,142,47772227
48984,10482849,242,142,47772241
48985,10482850,242,143,47772242
48986,10482852,243,143,47772244
48987,10482855,243,142,47772247
48988,10482873,242,140,47772271
48989,10482874,242,141,47772272
48990,10482876,243,141,47772274
48991,10482879,243,140,47772277
48992,10482953,244,140,47772411
48993,10482954,244,141,47772412
48994,10482956,245,141,47772414
48995,10482959,245,140,47772417
48996,10482961,244,142,47772421
48997,10482962,244,143,47772422
48998,10482964,245,143,47772424
48999,10482967,245,142,47772427
49000,10482977,246,142,47772441
49001,10482978,246,143,47772442
49002,10482980,247,143,47772444
49003,10482983,247,142,47772447
49004,10483001,246,140,47772471
49005,10483002,246,141,47772472
49006,10483004,247,141,47772474
49007,10483007,247,140,47772477
49008,10483145,244,136,47772711
49009,10483146,244,137,47772712
49010,10483148,245,137,47772714
49011,10483151,245,136,47772717
49012,10483153,244,138,47772721
49013,10483154,244,139,47772722
49014,10483156,245,139,47772724
49015,10483159,245,138,47772727
49016,10483169,246,138,47772741
49017,10483170,246,139,47772742
49018,10483172,247,139,47772744
49019,10483175,247,138,47772747
49020,10483193,246,136,47772771
49021,10483194,246,137,47772772
49022,10483196,247,137,47772774
49023,10483199,247,136,47772777
49024,10483785,248,136,47774111
49025,10483786,248,137,47774112
49026,10483788,249,137,47774114
49027,10483791,249,136,47774117
49028,10483793,248,138,47774121
49029,10483794,248,139,47774122
49030,10483796,249,139,47774124
