index,floretion,x_coord,y_coord,oct
0,37449,0,0,111111
1,37450,0,1,111112
2,37452,1,1,111114
3,37455,1,0,111117
4,37457,0,2,111121
5,37458,0,3,111122
6,37460,1,3,111124
7,37463,1,2,111127
8,37473,2,2,111141
9,37474,2,3,111142
10,37476,3,3,111144
11,37479,3,2,111147
12,37497,2,0,111171
13,37498,2,1,111172
14,37500,3,1,111174
15,37503,3,0,111177
16,37513,0,4,111211
17,37514,0,5,111212
18,37516,1,5,111214
19,37519,1,4,111217
20,37521,0,6,111221
21,37522,0,7,111222
22,37524,1,7,111224
23,37527,1,6,111227
24,37537,2,6,111241
25,37538,2,7,111242
26,37540,3,7,111244
27,37543,3,6,111247
28,37561,2,4,111271
29,37562,2,5,111272
30,37564,3,5,111274
31,37567,3,4,111277
32,37641,4,4,111411
33,37642,4,5,111412
34,37644,5,5,111414
35,37647,5,4,111417
36,37649,4,6,111421
37,37650,4,7,111422
38,37652,5,7,111424
39,37655,5,6,111427
40,37665,6,6,111441
41,37666,6,7,111442
42,37668,7,7,111444
43,37671,7,6,111447
44,37689,6,4,111471
45,37690,6,5,111472
46,37692,7,5,111474
47,37695,7,4,111477
48,37833,4,0,111711
49,37834,4,1,111712
50,37836,5,1,111714
51,37839,5,0,111717
52,37841,4,2,111721
53,37842,4,3,111722
54,37844,5,3,111724
55,37847,5,2,111727
56,37857,6,2,111741
57,37858,6,3,111742
58,37860,7,3,111744
59,37863,7,2,111747
60,37881,6,0,111771
61,37882,6,1,111772
62,37884,7,1,111774
63,37887,7,0,111777
64,37961,0,8,112111
65,37962,0,9,112112
66,37964,1,9,112114
67,37967,1,8,112117
68,37969,0,10,112121
69,37970,0,11,112122
70,37972,1,11,112124
71,37975,1,10,112127
72,37985,2,10,112141
73,37986,2,11,112142
74,37988,3,11,112144
75,37991,3,10,112147
76,38009,2,8,112171
77,38010,2,9,112172
78,38012,3,9,112174
79,38015,3,8,112177
80,38025,0,12,112211
81,38026,0,13,112212
82,38028,1,13,112214
83,38031,1,12,112217
84,38033,0,14,112221
85,38034,0,15,112222
86,38036,1,15,112224
87,38039,1,14,112227
88,38049,2,14,112241
89,38050,2,15,112242
90,38052,3,15,112244
91,38055,3,14,112247
92,38073,2,12,112271
93,38074,2,13,112272
94,38076,3,13,112274
95,38079,3,12,112277
96,38153,4,12,112411
97,38154,4,13,112412
98,38156,5,13,112414
99,38159,5,12,112417
100,38161,4,14,112421
101,38162,4,15,112422
102,38164,5,15,112424
103,38167,5,14,112427
104,38177,6,14,112441
105,38178,6,15,112442
106,38180,7,15,112444
107,38183,7,14,112447
108,38201,6,12,112471
109,38202,6,13,112472
110,38204,7,13,112474
111,38207,7,12,112477
112,38345,4,8,112711
113,38346,4,9,112712
114,38348,5,9,112714
115,38351,5,8,112717
116,38353,4,10,112721
117,38354,4,11,112722
118,38356,5,11,112724
119,38359,5,10,112727
120,38369,6,10,112741
121,38370,6,11,112742
122,38372,7,11,112744
123,38375,7,10,112747
124,38393,6,8,112771
125,38394,6,9,112772
126,38396,7,9,112774
127,38399,7,8,112777
128,38985,8,8,114111
129,38986,8,9,114112
130,38988,9,9,114114
131,38991,9,8,114117
132,38993,8,10,114121
133,38994,8,11,114122
134,38996,9,11,114124
135,38999,9,10,114127
136,39009,10,10,114141
137,39010,10,11,114142
138,39012,11,11,114144
139,39015,11,10,114147
140,39033,10,8,114171
141,39034,10,9,114172
142,39036,11,9,114174
143,39039,11,8,114177
144,39049,8,12,114211
145,39050,8,13,114212
146,39052,9,13,114214
147,39055,9,12,114217
148,39057,8,14,114221
149,39058,8,15,114222
150,39060,9,15,114224
151,39063,9,14,114227
152,39073,10,14,114241
153,39074,10,15,114242
154,39076,11,15,114244
155,39079,11,14,114247
156,39097,10,12,114271
157,39098,10,13,114272
158,39100,11,13,114274
159,39103,11,12,114277
160,39177,12,12,114411
161,39178,12,13,114412
162,39180,13,13,114414
163,39183,13,12,114417
164,39185,12,14,114421
165,39186,12,15,114422
166,39188,13,15,114424
167,39191,13,14,114427
168,39201,14,14,114441
169,39202,14,15,114442
170,39204,15,15,114444
171,39207,15,14,114447
172,39225,14,12,114471
173,39226,14,13,114472
174,39228,15,13,114474
175,39231,15,12,114477
176,39369,12,8,114711
177,39370,12,9,114712
178,39372,13,9,114714
179,39375,13,8,114717
180,39377,12,10,114721
181,39378,12,11,114722
182,39380,13,11,114724
183,39383,13,10,114727
184,39393,14,10,114741
185,39394,14,11,114742
186,39396,15,11,114744
187,39399,15,10,114747
188,39417,14,8,114771
189,39418,14,9,114772
190,39420,15,9,114774
191,39423,15,8,114777
192,40521,8,0,117111
193,40522,8,1,117112
194,40524,9,1,117114
195,40527,9,0,117117
196,40529,8,2,117121
197,40530,8,3,117122
198,40532,9,3,117124
199,40535,9,2,117127
200,40545,10,2,117141
201,40546,10,3,117142
202,40548,11,3,117144
203,40551,11,2,117147
204,40569,10,0,117171
205,40570,10,1,117172
206,40572,11,1,117174
207,40575,11,0,117177
208,40585,8,4,117211
209,40586,8,5,117212
210,40588,9,5,117214
211,40591,9,4,117217
212,40593,8,6,117221
213,40594,8,7,117222
214,40596,9,7,117224
215,40599,9,6,117227
216,40609,10,6,117241
217,40610,10,7,117242
218,40612,11,7,117244
219,40615,11,6,117247
220,40633,10,4,117271
221,40634,10,5,117272
222,40636,11,5,117274
223,40639,11,4,117277
224,40713,12,4,117411
225,40714,12,5,117412
226,40716,13,5,117414
227,40719,13,4,117417
228,40721,12,6,117421
229,40722,12,7,117422
230,40724,13,7,117424
231,40727,13,6,117427
232,40737,14,6,117441
233,40738,14,7,117442
234,40740,15,7,117444
235,40743,15,6,117447
236,40761,14,4,117471
237,40762,14,5,117472
238,40764,15,5,117474
239,40767,15,4,117477
240,40905,12,0,117711
241,40906,12,1,117712
242,40908,13,1,117714
243,40911,13,0,117717
244,40913,12,2,117721
245,40914,12,3,117722
246,40916,13,3,117724
247,40919,13,2,117727
248,40929,14,2,117741
249,40930,14,3,117742
250,40932,15,3,117744
251,40935,15,2,117747
252,40953,14,0,117771
253,40954,14,1,117772
254,40956,15,1,117774
255,40959,15,0,117777
256,41545,0,16,121111
257,41546,0,17,121112
258,41548,1,17,121114
259,41551,1,16,121117
260,41553,0,18,121121
261,41554,0,19,121122
262,41556,1,19,121124
263,41559,1,18,121127
264,41569,2,18,121141
265,41570,2,19,121142
266,41572,3,19,121144
267,41575,3,18,121147
268,41593,2,16,121171
269,41594,2,17,121172
270,41596,3,17,121174
271,41599,3,16,121177
272,41609,0,20,121211
273,41610,0,21,121212
274,41612,1,21,121214
275,41615,1,20,121217
276,41617,0,22,121221
277,41618,0,23,121222
278,41620,1,23,121224
279,41623,1,22,121227
280,41633,2,22,121241
