index,floretion,x_coord,y_coord
309,9170,4,19
310,9172,5,19
311,9175,5,18
312,9185,6,18
313,9186,6,19
314,9188,7,19
315,9191,7,18
316,9209,6,16
317,9210,6,17
318,9212,7,17
319,9215,7,16
320,9289,0,24
321,9290,0,25
322,9292,1,25
323,9295,1,24
324,9297,0,26
325,9298,0,27
326,9300,1,27
327,9303,1,26
328,9313,2,26
329,9314,2,27
330,9316,3,27
331,9319,3,26
332,9337,2,24
333,9338,2,25
334,9340,3,25
335,9343,3,24
336,9353,0,28
337,9354,0,29
338,9356,1,29
339,9359,1,28
340,9361,0,30
341,9362,0,31
342,9364,1,31
343,9367,1,30
344,9377,2,30
345,9378,2,31
346,9380,3,31
347,9383,3,30
348,9401,2,28
349,9402,2,29
350,9404,3,29
351,9407,3,28
352,9481,4,28
353,9482,4,29
354,9484,5,29
355,9487,5,28
356,9489,4,30
357,9490,4,31
358,9492,5,31
359,9495,5,30
360,9505,6,30
361,9506,6,31
362,9508,7,31
363,9511,7,30
364,9529,6,28
365,9530,6,29
366,9532,7,29
367,9535,7,28
368,9673,4,24
369,9674,4,25
370,9676,5,25
371,9679,5,24
372,9681,4,26
373,9682,4,27
374,9684,5,27
375,9687,5,26
376,9697,6,26
377,9698,6,27
378,9700,7,27
379,9703,7,26
380,9721,6,24
381,9722,6,25
382,9724,7,25
383,9727,7,24
384,10313,8,24
385,10314,8,25
386,10316,9,25
387,10319,9,24
388,10321,8,26
389,10322,8,27
390,10324,9,27
391,10327,9,26
392,10337,10,26
393,10338,10,27
394,10340,11,27
395,10343,11,26
396,10361,10,24
397,10362,10,25
398,10364,11,25
399,10367,11,24
400,10377,8,28
401,10378,8,29
402,10380,9,29
403,10383,9,28
404,10385,8,30
405,10386,8,31
406,10388,9,31
407,10391,9,30
408,10401,10,30
409,10402,10,31
410,10404,11,31
411,10407,11,30
412,10425,10,28
413,10426,10,29
414,10428,11,29
415,10431,11,28
416,10505,12,28
417,10506,12,29
418,10508,13,29
419,10511,13,28
420,10513,12,30
421,10514,12,31
422,10516,13,31
423,10519,13,30
424,10529,14,30
425,10530,14,31
426,10532,15,31
427,10535,15,30
428,10553,14,28
429,10554,14,29
430,10556,15,29
431,10559,15,28
432,10697,12,24
433,10698,12,25
434,10700,13,25
435,10703,13,24
436,10705,12,26
437,10706,12,27
438,10708,13,27
439,10711,13,26
440,10721,14,26
441,10722,14,27
442,10724,15,27
443,10727,15,26
444,10745,14,24
445,10746,14,25
446,10748,15,25
447,10751,15,24
448,11849,8,16
449,11850,8,17
450,11852,9,17
451,11855,9,16
452,11857,8,18
453,11858,8,19
454,11860,9,19
455,11863,9,18
456,11873,10,18
457,11874,10,19
458,11876,11,19
459,11879,11,18
460,11897,10,16
461,11898,10,17
462,11900,11,17
463,11903,11,16
464,11913,8,20
465,11914,8,21
466,11916,9,21
467,11919,9,20
468,11921,8,22
469,11922,8,23
470,11924,9,23
471,11927,9,22
472,11937,10,22
473,11938,10,23
474,11940,11,23
475,11943,11,22
476,11961,10,20
477,11962,10,21
478,11964,11,21
479,11967,11,20
480,12041,12,20
481,12042,12,21
482,12044,13,21
483,12047,13,20
484,12049,12,22
485,12050,12,23
486,12052,13,23
487,12055,13,22
488,12065,14,22
489,12066,14,23
490,12068,15,23
491,12071,15,22
492,12089,14,20
493,12090,14,21
494,12092,15,21
495,12095,15,20
496,12233,12,16
497,12234,12,17
498,12236,13,17
499,12239,13,16
500,12241,12,18
501,12242,12,19
502,12244,13,19
503,12247,13,18
504,12257,14,18
505,12258,14,19
506,12260,15,19
507,12263,15,18
508,12281,14,16
509,12282,14,17
510,12284,15,17
511,12287,15,16
512,16969,16,16
513,16970,16,17
514,16972,17,17
515,16975,17,16
516,16977,16,18
