index,floretion,x_coord,y_coord
0,585,0,0
1,586,0,1
2,588,1,1
3,591,1,0
4,593,0,2
5,594,0,3
6,596,1,3
7,599,1,2
8,609,2,2
9,610,2,3
10,612,3,3
11,615,3,2
12,633,2,0
13,634,2,1
14,636,3,1
15,639,3,0
16,649,0,4
17,650,0,5
18,652,1,5
19,655,1,4
20,657,0,6
21,658,0,7
22,660,1,7
23,663,1,6
24,673,2,6
25,674,2,7
26,676,3,7
27,679,3,6
28,697,2,4
29,698,2,5
30,700,3,5
31,703,3,4
32,777,4,4
33,778,4,5
34,780,5,5
35,783,5,4
36,785,4,6
37,786,4,7
38,788,5,7
39,791,5,6
40,801,6,6
41,802,6,7
42,804,7,7
43,807,7,6
44,825,6,4
45,826,6,5
46,828,7,5
47,831,7,4
48,969,4,0
49,970,4,1
50,972,5,1
51,975,5,0
52,977,4,2
53,978,4,3
54,980,5,3
55,983,5,2
56,993,6,2
57,994,6,3
58,996,7,3
59,999,7,2
60,1017,6,0
61,1018,6,1
62,1020,7,1
63,1023,7,0
64,1097,0,8
65,1098,0,9
66,1100,1,9
67,1103,1,8
68,1105,0,10
69,1106,0,11
70,1108,1,11
71,1111,1,10
72,1121,2,10
73,1122,2,11
74,1124,3,11
75,1127,3,10
76,1145,2,8
77,1146,2,9
78,1148,3,9
79,1151,3,8
80,1161,0,12
81,1162,0,13
82,1164,1,13
83,1167,1,12
84,1169,0,14
85,1170,0,15
86,1172,1,15
87,1175,1,14
88,1185,2,14
89,1186,2,15
90,1188,3,15
91,1191,3,14
92,1209,2,12
93,1210,2,13
94,1212,3,13
95,1215,3,12
96,1289,4,12
97,1290,4,13
98,1292,5,13
99,1295,5,12
100,1297,4,14
101,1298,4,15
102,1300,5,15
103,1303,5,14
104,1313,6,14
105,1314,6,15
106,1316,7,15
107,1319,7,14
108,1337,6,12
109,1338,6,13
110,1340,7,13
111,1343,7,12
112,1481,4,8
113,1482,4,9
114,1484,5,9
115,1487,5,8
116,1489,4,10
117,1490,4,11
118,1492,5,11
119,1495,5,10
120,1505,6,10
121,1506,6,11
122,1508,7,11
123,1511,7,10
124,1529,6,8
125,1530,6,9
126,1532,7,9
127,1535,7,8
128,2121,8,8
129,2122,8,9
130,2124,9,9
131,2127,9,8
132,2129,8,10
133,2130,8,11
134,2132,9,11
135,2135,9,10
136,2145,10,10
137,2146,10,11
138,2148,11,11
139,2151,11,10
140,2169,10,8
141,2170,10,9
142,2172,11,9
143,2175,11,8
144,2185,8,12
145,2186,8,13
146,2188,9,13
147,2191,9,12
148,2193,8,14
149,2194,8,15
150,2196,9,15
151,2199,9,14
152,2209,10,14
153,2210,10,15
154,2212,11,15
155,2215,11,14
156,2233,10,12
157,2234,10,13
158,2236,11,13
159,2239,11,12
160,2313,12,12
161,2314,12,13
162,2316,13,13
163,2319,13,12
164,2321,12,14
165,2322,12,15
166,2324,13,15
167,2327,13,14
168,2337,14,14
169,2338,14,15
170,2340,15,15
171,2343,15,14
172,2361,14,12
173,2362,14,13
174,2364,15,13
175,2367,15,12
176,2505,12,8
177,2506,12,9
178,2508,13,9
179,2511,13,8
180,2513,12,10
181,2514,12,11
182,2516,13,11
183,2519,13,10
184,2529,14,10
185,2530,14,11
186,2532,15,11
187,2535,15,10
188,2553,14,8
189,2554,14,9
190,2556,15,9
191,2559,15,8
192,3657,8,0
193,3658,8,1
194,3660,9,1
195,3663,9,0
196,3665,8,2
197,3666,8,3
198,3668,9,3
199,3671,9,2
200,3681,10,2
201,3682,10,3
202,3684,11,3
203,3687,11,2
204,3705,10,0
205,3706,10,1
206,3708,11,1
207,3711,11,0
208,3721,8,4
209,3722,8,5
210,3724,9,5
211,3727,9,4
212,3729,8,6
213,3730,8,7
214,3732,9,7
215,3735,9,6
216,3745,10,6
217,3746,10,7
218,3748,11,7
219,3751,11,6
220,3769,10,4
221,3770,10,5
222,3772,11,5
223,3775,11,4
224,3849,12,4
225,3850,12,5
226,3852,13,5
227,3855,13,4
228,3857,12,6
229,3858,12,7
230,3860,13,7
231,3863,13,6
232,3873,14,6
233,3874,14,7
234,3876,15,7
235,3879,15,6
236,3897,14,4
237,3898,14,5
238,3900,15,5
239,3903,15,4
240,4041,12,0
241,4042,12,1
242,4044,13,1
243,4047,13,0
244,4049,12,2
245,4050,12,3
246,4052,13,3
247,4055,13,2
248,4065,14,2
249,4066,14,3
250,4068,15,3
251,4071,15,2
252,4089,14,0
253,4090,14,1
254,4092,15,1
255,4095,15,0
