index,floretion,x_coord,y_coord
0,37449,0,0
1,37450,0,1
2,37452,1,1
3,37455,1,0
4,37457,0,2
5,37458,0,3
6,37460,1,3
7,37463,1,2
8,37473,2,2
9,37474,2,3
10,37476,3,3
11,37479,3,2
12,37497,2,0
13,37498,2,1
14,37500,3,1
15,37503,3,0
16,37513,0,4
17,37514,0,5
18,37516,1,5
19,37519,1,4
20,37521,0,6
21,37522,0,7
22,37524,1,7
23,37527,1,6
24,37537,2,6
25,37538,2,7
26,37540,3,7
27,37543,3,6
28,37561,2,4
29,37562,2,5
30,37564,3,5
31,37567,3,4
32,37641,4,4
33,37642,4,5
34,37644,5,5
35,37647,5,4
36,37649,4,6
37,37650,4,7
38,37652,5,7
39,37655,5,6
40,37665,6,6
41,37666,6,7
42,37668,7,7
43,37671,7,6
44,37689,6,4
45,37690,6,5
46,37692,7,5
47,37695,7,4
48,37833,4,0
49,37834,4,1
50,37836,5,1
51,37839,5,0
52,37841,4,2
53,37842,4,3
54,37844,5,3
55,37847,5,2
56,37857,6,2
57,37858,6,3
58,37860,7,3
59,37863,7,2
60,37881,6,0
61,37882,6,1
62,37884,7,1
63,37887,7,0
64,37961,0,8
65,37962,0,9
66,37964,1,9
67,37967,1,8
68,37969,0,10
69,37970,0,11
70,37972,1,11
71,37975,1,10
72,37985,2,10
73,37986,2,11
74,37988,3,11
75,37991,3,10
76,38009,2,8
77,38010,2,9
78,38012,3,9
79,38015,3,8
80,38025,0,12
81,38026,0,13
82,38028,1,13
83,38031,1,12
84,38033,0,14
85,38034,0,15
86,38036,1,15
87,38039,1,14
88,38049,2,14
89,38050,2,15
90,38052,3,15
91,38055,3,14
92,38073,2,12
93,38074,2,13
94,38076,3,13
95,38079,3,12
96,38153,4,12
97,38154,4,13
98,38156,5,13
99,38159,5,12
100,38161,4,14
101,38162,4,15
102,38164,5,15
103,38167,5,14
104,38177,6,14
105,38178,6,15
106,38180,7,15
107,38183,7,14
108,38201,6,12
109,38202,6,13
110,38204,7,13
111,38207,7,12
112,38345,4,8
113,38346,4,9
114,38348,5,9
115,38351,5,8
116,38353,4,10
117,38354,4,11
118,38356,5,11
119,38359,5,10
120,38369,6,10
121,38370,6,11
122,38372,7,11
123,38375,7,10
124,38393,6,8
125,38394,6,9
126,38396,7,9
127,38399,7,8
128,38985,8,8
129,38986,8,9
130,38988,9,9
131,38991,9,8
132,38993,8,10
133,38994,8,11
134,38996,9,11
135,38999,9,10
136,39009,10,10
137,39010,10,11
138,39012,11,11
139,39015,11,10
140,39033,10,8
141,39034,10,9
142,39036,11,9
143,39039,11,8
144,39049,8,12
145,39050,8,13
146,39052,9,13
147,39055,9,12
148,39057,8,14
149,39058,8,15
150,39060,9,15
151,39063,9,14
152,39073,10,14
153,39074,10,15
154,39076,11,15
155,39079,11,14
156,39097,10,12
157,39098,10,13
158,39100,11,13
159,39103,11,12
160,39177,12,12
161,39178,12,13
162,39180,13,13
163,39183,13,12
164,39185,12,14
165,39186,12,15
166,39188,13,15
167,39191,13,14
168,39201,14,14
169,39202,14,15
170,39204,15,15
171,39207,15,14
172,39225,14,12
173,39226,14,13
174,39228,15,13
175,39231,15,12
176,39369,12,8
177,39370,12,9
178,39372,13,9
179,39375,13,8
180,39377,12,10
181,39378,12,11
182,39380,13,11
183,39383,13,10
184,39393,14,10
185,39394,14,11
186,39396,15,11
187,39399,15,10
188,39417,14,8
189,39418,14,9
190,39420,15,9
191,39423,15,8
192,40521,8,0
193,40522,8,1
194,40524,9,1
195,40527,9,0
196,40529,8,2
197,40530,8,3
198,40532,9,3
199,40535,9,2
200,40545,10,2
201,40546,10,3
202,40548,11,3
203,40551,11,2
204,40569,10,0
205,40570,10,1
206,40572,11,1
207,40575,11,0
208,40585,8,4
209,40586,8,5
210,40588,9,5
211,40591,9,4
212,40593,8,6
213,40594,8,7
214,40596,9,7
215,40599,9,6
216,40609,10,6
217,40610,10,7
218,40612,11,7
219,40615,11,6
220,40633,10,4
221,40634,10,5
222,40636,11,5
223,40639,11,4
224,40713,12,4
225,40714,12,5
226,40716,13,5
227,40719,13,4
228,40721,12,6
229,40722,12,7
230,40724,13,7
231,40727,13,6
232,40737,14,6
233,40738,14,7
234,40740,15,7
235,40743,15,6
236,40761,14,4
237,40762,14,5
238,40764,15,5
239,40767,15,4
240,40905,12,0
241,40906,12,1
242,40908,13,1
243,40911,13,0
244,40913,12,2
245,40914,12,3
246,40916,13,3
247,40919,13,2
248,40929,14,2
249,40930,14,3
250,40932,15,3
251,40935,15,2
252,40953,14,0
253,40954,14,1
254,40956,15,1
255,40959,15,0
256,41545,0,16
257,41546,0,17
258,41548,1,17
259,41551,1,16
260,41553,0,18
261,41554,0,19
262,41556,1,19
263,41559,1,18
264,41569,2,18
265,41570,2,19
266,41572,3,19
267,41575,3,18
268,41593,2,16
269,41594,2,17
270,41596,3,17
271,41599,3,16
272,41609,0,20
273,41610,0,21
274,41612,1,21
275,41615,1,20
276,41617,0,22
277,41618,0,23
278,41620,1,23
279,41623,1,22
280,41633,2,22
281,41634,2,23
282,41636,3,23
283,41639,3,22
284,41657,2,20
285,41658,2,21
286,41660,3,21
287,41663,3,20
288,41737,4,20
289,41738,4,21
290,41740,5,21
291,41743,5,20
292,41745,4,22
293,41746,4,23
294,41748,5,23
295,41751,5,22
296,41761,6,22
297,41762,6,23
298,41764,7,23
299,41767,7,22
300,41785,6,20
301,41786,6,21
302,41788,7,21
303,41791,7,20
304,41929,4,16
305,41930,4,17
306,41932,5,17
307,41935,5,16
308,41937,4,18
309,41938,4,19
310,41940,5,19
311,41943,5,18
312,41953,6,18
313,41954,6,19
314,41956,7,19
315,41959,7,18
316,41977,6,16
317,41978,6,17
318,41980,7,17
319,41983,7,16
320,42057,0,24
321,42058,0,25
322,42060,1,25
323,42063,1,24
324,42065,0,26
325,42066,0,27
326,42068,1,27
327,42071,1,26
328,42081,2,26
329,42082,2,27
330,42084,3,27
331,42087,3,26
332,42105,2,24
333,42106,2,25
334,42108,3,25
335,42111,3,24
336,42121,0,28
337,42122,0,29
338,42124,1,29
339,42127,1,28
340,42129,0,30
341,42130,0,31
342,42132,1,31
343,42135,1,30
344,42145,2,30
345,42146,2,31
346,42148,3,31
347,42151,3,30
348,42169,2,28
349,42170,2,29
350,42172,3,29
351,42175,3,28
352,42249,4,28
353,42250,4,29
354,42252,5,29
355,42255,5,28
356,42257,4,30
357,42258,4,31
358,42260,5,31
359,42263,5,30
360,42273,6,30
